Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Eastern Towhee,Pipilo,erythrophthalmus,8 Pigeon Hill Rd,10/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
White-throated Sparrow,Zonotrichia,albicollis,8 Pigeon Hill Rd,10/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Dark-eyed Junco,Junco,hyemalis,8 Pigeon Hill Rd,10/16/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Yellow-bellied Sapsucker,Sphyrapicus,varius,8 Pigeon Hill Rd,10/17/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
House Finch,Carpodacus,mexicanus,8 Pigeon Hill Rd,10/22/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Pectoral Sandpiper,Calidris,melanotos,West Nyack Swamp,10/25/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Belted Kingfisher,Ceryle,alcyon,West Nyack Swamp,10/25/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Brown-headed Cowbird,Molothrus,ater,8 Pigeon Hill Rd,11/5/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Hairy Woodpecker,Picoides,villosus,8 Pigeon Hill Rd,11/30/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Tree Sparrow,Spizella,arborea,8 Pigeon Hill Rd,12/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Mute Swan,Cygnus,olor,Iona Island,12/26/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Green-winged Teal,Anas,carolinensis,BrooksideSanctuary,1/21/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Red-tailed Hawk,Buteo,jamaicensis,W Nyack Dump,2/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Black Duck,Anas,rubripes,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Goldeneye,Bucephala,clangula,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Bufflehead,Bucephala,albeola,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Wigeon,Anas,americana,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Lesser Scaup,Aythya,affinis,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ring-billed Gull,Larus,delawarensis,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Killdeer,Charadrius,vociferus,Nanuet High School,3/14/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Redhead,Aythya,americana,Rockland Lake,3/18/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Pied-billed Grebe,Podilymbus,podiceps,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Wood Duck,Aix,sponsa,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Merganser,Mergus,merganser,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ruddy Duck,Oxyura,jamaicensis,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ruffed Grouse,Bonasa,umbellus,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Coot,Fulica,americana,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Phoebe,Sayornis,phoebe,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Carolina Wren,Thryothorus,ludovicianus,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ring-necked Pheasant,Phasianus,colchicus,New York,4/1/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Trumpeter Swan,Cygnus,buccinator,Sapsucker Pond,4/2/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Greater White-fronted Goose,Anser,albifrons,Sapsucker Pond,4/2/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Snow Goose,Chen,caerulescens,Sapsucker Pond,4/2/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Pintail,Anas,acuta,Sapsucker Pond,4/2/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Waterthrush,Seiurus,noveboracensis,Sapsucker Pond,4/2/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Osprey,Pandion,haliaetus,West Nyack Swamp,4/29/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Great Horned Owl,Bubo,virginianus,West Nyack Swamp,4/29/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Barn Swallow,Hirundo,rustica,West Nyack Swamp,4/29/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Yellow Warbler,Dendroica,petechia,West Nyack Swamp,4/29/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Purple Finch,Carpodacus,purpureus,8 Pigeon Hill Rd,5/6/1973,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Veery,Catharus,fuscescens,8 Pigeon Hill Rd,5/12/1973,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Black-throated Blue Warbler,Dendroica,caerulescens,8 Pigeon Hill Rd,5/12/1973,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Redstart,Setophaga,ruticilla,8 Pigeon Hill Rd,5/12/1973,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Purple Martin,Progne,subis,Seaside,5/13/1973,Seaside, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Chestnut-sided Warbler,Dendroica,pensylvanica,Sapsucker Pond,5/22/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Magnolia Warbler,Dendroica,magnolia,Sapsucker Pond,5/22/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Bay-breasted Warbler,Dendroica,castanea,Sapsucker Pond,5/22/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
White-crowned Sparrow,Zonotrichia,leucophrys,New York,5/23/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Nighthawk,Chordeiles,minor,Rockland,5/29/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Least Tern,Sterna,antillarum,Seaside,6/7/1973,Seaside, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Northern Harrier,Circus,cyaneus,Hook Mountain,9/16/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Sharp-shinned Hawk,Accipiter,striatus,Hook Mountain,9/16/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Yellow-rumped Warbler,Dendroica,coronata,Oneonta,10/21/1973,Oneonta, ,New York,United States,North America,coronata (hooveri),  ,  ,  ,  ,  
Scarlet Tanager,Piranga,olivacea,Rockland,7/4/1974, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Green Heron,Butorides,virescens,New York,8/18/1974, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Evening Grosbeak,Coccothraustes,vespertinus,Oneonta,2/28/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Rough-legged Hawk,Buteo,lagopus,Oneonta,3/14/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Meadowlark,Sturnella,magna,Oneonta,3/22/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Great Blue Heron,Ardea,herodias,Virginia,3/25/1975, , ,Virginia,United States,North America,  ,  ,  ,  ,  ,  
Horned Lark,Eremophila,alpestris,Oneonta,4/1/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Ring-necked Duck,Aythya,collaris,Goodyear Lake,4/10/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Hooded Merganser,Lophodytes,cucullatus,Goodyear Lake,4/10/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Cooper's Hawk,Accipiter,cooperii,Oneonta,4/10/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Rusty Blackbird,Euphagus,carolinus,Oneonta,4/15/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
American Bittern,Botaurus,lentiginosus,Oneonta,4/17/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Blue-winged Teal,Anas,discors,Gilbert Lake,4/17/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Snipe,Gallinago,gallinago,Oneonta,4/17/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Golden-crowned Kinglet,Regulus,satrapa,Oneonta,4/17/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Loon,Gavia,immer,Oneonta,4/22/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Least Sandpiper,Calidris,minutilla,Oneonta,4/22/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Ruby-crowned Kinglet,Regulus,calendula,Oneonta,4/27/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Great Egret,Ardea,alba,Oneonta,4/29/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Broad-winged Hawk,Buteo,platypterus,Oneonta,4/29/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Wild Turkey,Meleagris,gallopavo,Oneonta,4/29/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Vesper Sparrow,Pooecetes,gramineus,Oneonta,4/29/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Field Sparrow,Spizella,pusilla,Oneonta,5/1/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Savannah Sparrow,Passerculus,sandwichensis,Oneonta,5/1/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Blue-headed Vireo,Vireo,solitarius,Oneonta,5/8/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Black-throated Green Warbler,Dendroica,virens,Oneonta,5/8/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Black-and-white Warbler,Mniotilta,varia,Oneonta,5/8/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Brown Creeper,Certhia,americana,Oneonta,5/13/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Cape May Warbler,Dendroica,tigrina,Oneonta,5/13/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Yellowthroat,Geothlypis,trichas,Oneonta,5/13/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Bobolink,Dolichonyx,oryzivorus,Oneonta,5/13/1975,Oneonta, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Wood-Pewee,Contopus,virens,Hook Mountain,6/6/1975, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Great Crested Flycatcher,Myiarchus,crinitus,Hook Mountain,6/6/1975, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Bobwhite,Colinus,virginianus,301 Private Rd.,12/31/1975,East Patchogue,Suffolk,New York,United States,North America,  ,  ,  ,  ,  ,  
Black-billed Magpie,Pica,hudsonia,Denver ,12/27/1976,Denver , ,Colorado,United States,North America,  ,  ,  ,  ,  ,  
Common Raven,Corvus,corax,Denver ,12/28/1976,Denver , ,Colorado,United States,North America,  ,  ,  ,  ,  ,  
Brown Pelican,Pelecanus,occidentalis,Fort Lauderdale,3/1/1977,Fort Lauderdale, ,Florida,United States,North America,  ,  ,  ,  ,  ,  
Snowy Egret,Egretta,thula,Fort Lauderdale,3/1/1977,Fort Lauderdale, ,Florida,United States,North America,  ,  ,  ,  ,  ,  
Purple Gallinule,Porphyrula,martinica,Fort Lauderdale,3/1/1977,Fort Lauderdale, ,Florida,United States,North America,  ,  ,  ,  ,  ,  
Red-bellied Woodpecker,Melanerpes,carolinus,Fort Lauderdale,3/1/1977,Fort Lauderdale, ,Florida,United States,North America,  ,  ,  ,  ,  ,  
Boat-tailed Grackle,Quiscalus,major,Fort Lauderdale,3/1/1977,Fort Lauderdale, ,Florida,United States,North America,  ,  ,  ,  ,  ,  
Common Redpoll,Carduelis,flammea,8 Pigeon Hill Rd,2/1/1978,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Pine Siskin,Carduelis,pinus,8 Pigeon Hill Rd,4/20/1978,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Red-headed Woodpecker,Melanerpes,erythrocephalus,Myrtle Beach ,6/12/1978,Myrtle Beach , ,South Carolina,United States,North America,  ,  ,  ,  ,  ,  
Anhinga,Anhinga,anhinga,Louisiana,6/16/1978, , ,Louisiana,United States,North America,  ,  ,  ,  ,  ,  
Tricolored Heron,Egretta,tricolor,Louisiana,6/17/1978, , ,Louisiana,United States,North America,  ,  ,  ,  ,  ,  
Black Vulture,Coragyps,atratus,Texas,6/18/1978, , ,Texas,United States,North America,  ,  ,  ,  ,  ,  
Black Skimmer,Rynchops,niger,Texas,6/19/1978, , ,Texas,United States,North America,  ,  ,  ,  ,  ,  
Swainson's Hawk,Buteo,swainsoni,Texas,6/20/1978, , ,Texas,United States,North America,  ,  ,  ,  ,  ,  
Fish Crow,Corvus,ossifragus,Galveston,6/20/1978,Galveston, ,Texas,United States,North America,  ,  ,  ,  ,  ,  
Lark Sparrow,Chondestes,grammacus,Texas,6/22/1978, , ,Texas,United States,North America,  ,  ,  ,  ,  ,  
Scissor-tailed Flycatcher,Tyrannus,forficatus,New Mexico,6/25/1978, , ,New Mexico,United States,North America,  ,  ,  ,  ,  ,  
Violet-green Swallow,Tachycineta,thalassina,Colorado,6/28/1978, , ,Colorado,United States,North America,  ,  ,  ,  ,  ,  
Western Kingbird,Tyrannus,verticalis,Utah,6/29/1978, , ,Utah,United States,North America,  ,  ,  ,  ,  ,  
Canyon Wren,Catherpes,mexicanus,Utah,6/30/1978, , ,Utah,United States,North America,  ,  ,  ,  ,  ,  
Mountain Bluebird,Sialia,currucoides,Bryce Canyon ,6/30/1978, ,Bryce Canyon ,Utah,United States,North America,  ,  ,  ,  ,  ,  
Steller's Jay,Cyanocitta,stelleri,Bryce Canyon ,6/30/1978, ,Bryce Canyon ,Utah,United States,North America,  ,  ,  ,  ,  ,  
Clark's Nutcracker,Nucifraga,columbiana,Bryce Canyon ,6/30/1978, ,Bryce Canyon ,Utah,United States,North America,  ,  ,  ,  ,  ,  
White-winged Dove,Zenaida,asiatica,Arizona,7/1/1978, , ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Barn Owl,Tyto,alba,Tucson,7/2/1978,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Double-crested Cormorant,Phalacrocorax,auritus,San Diego,7/10/1978,San Diego, ,California,United States,North America,  ,  ,  ,  ,  ,  
Western Gull,Larus,occidentalis,San Diego,7/12/1978,San Diego, ,California,United States,North America,  ,  ,  ,  ,  ,  
California Towhee,Pipilo,crissalis,San Diego,7/12/1978,San Diego, ,California,United States,North America,  ,  ,  ,  ,  ,  
Brewer's Blackbird,Euphagus,cyanocephalus,San Diego,7/12/1978,San Diego, ,California,United States,North America,  ,  ,  ,  ,  ,  
Black Phoebe,Sayornis,nigricans,FernwoodPark,7/15/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
California Quail,Callipepla,californica,Mugu State Park,7/16/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Anna's Hummingbird,Calypte,anna,Napa,7/20/1978,Napa, ,California,United States,North America,  ,  ,  ,  ,  ,  
Semipalmated Plover,Charadrius,semipalmatus,Salmon Creek Beach,8/1/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Marbled Godwit,Limosa,fedoa,Salmon Creek Beach,8/1/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
American Avocet,Recurvirostra,americana,Berkeley Shoreline,8/5/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Red-shouldered Hawk,Buteo,lineatus,Sonoma,8/12/1978,Sonoma, ,California,United States,North America,  ,  ,  ,  ,  ,  
Willet,Catoptrophorus,semipalmatus,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Heermann's Gull,Larus,heermanni,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Bewick's Wren,Thryomanes,bewickii,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Swainson's Thrush,Catharus,ustulatus,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Wrentit,Chamaea,fasciata,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Western Scrub-Jay,Aphelocoma,californica,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,now California Scrub-Jay as of 7/11/16,  ,  ,  ,  ,  
Hutton's Vireo,Vireo,huttoni,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Wilson's Warbler,Wilsonia,pusilla,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Fox Sparrow,Passerella,iliaca,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Golden-crowned Sparrow,Zonotrichia,atricapilla,Point Reyes NS,9/1/1978, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Acorn Woodpecker,Melanerpes,formicivorus,American River,9/10/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Mountain Chickadee,Poecile,gambeli,Lake Tahoe,10/1/1978, ,Lake Tahoe,California,United States,North America,  ,  ,  ,  ,  ,  
Yellow-billed Magpie,Pica,nuttalli,Eastern Sierra,10/15/1978, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Ferruginous Hawk,Buteo,regalis,Arizona,11/15/1978, , ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Merlin,Falco,columbarius,Cape May,10/5/1979,Cape May, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
