Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Collared Kingfisher,Todirhamphus,chloris,Sungei Buloh NP,1/24/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
Dollarbird,Eurystomus,orientalis,Sungei Buloh NP,1/24/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
House Swift,Apus,nipalensis,on the train to KL,1/25/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Blue-tailed Bee-eater,Merops,philippinus,on train to KL,1/25/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Blue-winged Pitta,Pitta,moluccensis,on train to KL,1/25/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Asian Glossy Starling,Aplonis,panayensis,on train to KL,1/25/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Olive-backed Sunbird,Cinnyris,jugularis,Kuala Lumpur,1/26/2000,Kuala Lumpur, , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Asian Koel,Eudynamys,scolopacea,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Asian Palm-Swift,Cypsiurus,balasiensis,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
White-throated Kingfisher,Halcyon,smyrnensis,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Pacific Swallow,Hirundo,tahitica,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Gray Wagtail,Motacilla,cinerea,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Red-throated Pipit,Anthus,cervinus,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Yellow-bellied Prinia,Prinia,flaviventris,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Oriental Magpie-Robin,Copsychus,saularis,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Streaked Spiderhunter,Arachnothera,magna,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Black-naped Oriole,Oriolus,chinensis,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Brown Shrike,Lanius,cristatus,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Jungle Myna,Acridotheres,fuscus,Genting Highlands,1/27/2000, , , ,"Malaysia, Penins.",Eurasia,  ,  ,  ,  ,  ,  
Black-capped Kingfisher,Halcyon,pileata,Central Catchment,1/29/2000,, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
Gold-whiskered Barbet,Megalaima,chrysopogon,Central Catchment,1/29/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
Common Iora,Aegithina,tiphia,Central Catchment,1/29/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
Lanceolated Warbler,Locustella,lanceolata,Central Catchment,1/29/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
Greater Racket-tailed Drongo,Dicrurus,paradiseus,Central Catchment,1/29/2000,Singapore, , ,Singapore,Eurasia,  ,  ,  ,  ,  ,  
California Condor,Gymnogyps,californianus,Grand Canyon NP,5/25/2001, ,Grand Canyon NP,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Black-throated Gray Warbler,Dendroica,nigrescens,Grand Canyon NP,5/25/2001, ,Grand Canyon NP,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Summer Tanager,Piranga,rubra,Canyon Mesa CC,5/28/2001,Sedona, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Hooded Oriole,Icterus,cucullatus,Canyon Mesa CC,5/28/2001,Sedona, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Greater Pewee,Contopus,pertinax,Sedona,5/29/2001,Sedona, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Cassin's Kingbird,Tyrannus,vociferans,Sedona,5/29/2001,Sedona, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Whooper Swan,Cygnus,cygnus,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Pink-footed Goose,Anser,brachyrhynchus,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common Shelduck,Tadorna,tadorna,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Teal,Anas,crecca,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Northern Lapwing,Vanellus,vanellus,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Ruff,Philomachus,pugnax,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Willow Tit,Poecile,montana,Martin Mere NWR,2/3/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Dunnock,Prunella,modularis,Risley Moss Park,2/13/2002,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Reed Bunting,Emberiza,schoeniclus,Risley Moss Park,2/13/2002,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Brambling,Fringilla,montifringilla,Risley Moss Park,2/13/2002,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Bullfinch,Pyrrhula,pyrrhula,Risley Moss Park,2/13/2002,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Buzzard,Buteo,buteo,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Water Rail,Rallus,aquaticus,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Black-tailed Godwit,Limosa,limosa,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Curlew,Numenius,arquata,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Mew Gull,Larus,canus,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Lesser Black-backed Gull,Larus,fuscus,Conwy RSPB Preserv,3/2/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Northern Fulmar,Fulmarus,glacialis,HolyHead RSPB Pres,3/9/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Sparrowhawk,Accipiter,nisus,M62 near Manchester,3/9/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Gyrfalcon,Falco,rusticolus,HolyHead RSPB Pres,3/9/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Rock Pipit,Anthus,petrosus,HolyHead RSPB Pres,3/9/2002, ,Wales, ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Jay,Garrulus,glandarius,M62 near Manchester,3/9/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Rose-ringed Parakeet,Psittacula,krameri,Pennington Flash ,3/16/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common Kingfisher,Alcedo,atthis,United Kingdom,3/16/2002, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Bar-headed Goose,Anser,indicus,Regents Park,4/8/2002,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Barnacle Goose,Branta,leucopsis,Regents Park,4/8/2002,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Zenaida Dove,Zenaida,aurita,St. Croix,12/24/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Pearly-eyed Thrasher,Margarops,fuscatus,St. Croix,12/24/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Gray Kingbird,Tyrannus,dominicensis,St. Croix,12/26/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Green-throated Carib,Eulampis,holosericeus,The Buccaneer!,12/27/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Antillean Crested Hummingbird,Orthorhyncus,cristatus,St. Croix,12/27/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Bananaquit,Coereba,flaveola,St. Croix,12/27/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
White-cheeked Pintail,Anas,bahamensis,St. Croix,12/28/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Greater Antillean Grackle,Quiscalus,niger,St. Croix,12/28/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Brown Booby,Sula,leucogaster,St. Croix,12/30/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
White-crowned Pigeon,Columba,leucocephala,St. Croix,12/30/2002, ,St. Croix, ,US Virgin Islands,North America,  ,  ,  ,  ,  ,  
Red Junglefowl,Gallus,gallus,Kauai,8/9/2003, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,everywhere,  ,  ,  ,  ,  
Black Francolin,Francolinus,francolinus,Kauai,8/10/2003, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Red Avadavat,Amandava,amandava,Kauai,8/11/2003, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Wedge-tailed Shearwater,Puffinus,pacificus,Kilauea Lighthouse,8/12/2003, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Red-breasted Goose,Branta,ruficollis,Martin Mere NWR,1/17/2004, , , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Fieldfare,Turdus,pilaris,field near Hanover Hotel,1/18/2004,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Redwing,Turdus,iliacus,field near Hanover Hotel,1/18/2004,Warrington, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Zone-tailed Hawk,Buteo,albonotatus,Canyon Mesa CC,5/28/2004,Sedona, ,Arizona,United States,North America,flew right over my head on the 3rd green!,  ,  ,  ,  ,  
Rufous-tailed Hummingbird,Amazilia,tzacatl,Bougainvillea Hotel grounds,4/2/2005,San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-crowned Motmot,Momotus,momota,Bougainvillea Hotel grounds,4/2/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Hoffmann's Woodpecker,Melanerpes,hoffmannii,Bougainvillea Hotel grounds,4/2/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-and-white Swallow,Pygochelidon,cyanoleuca,Bougainvillea Hotel grounds,4/2/2005,San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Plain Wren,Thryothorus,modestus,Bougainvillea Hotel grounds,4/2/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Clay-colored Robin,Turdus,grayi,Bougainvillea Hotel grounds,4/2/2005, San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Brown Jay,Cyanocorax,morio,Bougainvillea Hotel grounds,4/2/2005,San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-collared Sparrow,Zonotrichia,capensis,Bougainvillea Hotel grounds,4/2/2005, San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Grayish Saltator,Saltator,coerulescens,Bougainvillea Hotel grounds,4/2/2005, San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Melodious Blackbird,Dives,dives,Bougainvillea Hotel grounds,4/2/2005, San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Montezuma Oropendola,Gymnostinops,montezuma,Bougainvillea Hotel grounds,4/2/2005, San Jose, , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-crowned Night-Heron,Nyctanassa,violacea,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Bare-throated Tiger-Heron,Tigrisoma,mexicanum,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White Ibis,Eudocimus,albus,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Plumbeous Kite,Ictinia,plumbea,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Short-tailed Hawk,Buteo,brachyurus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-headed Caracara,Milvago,chimachima,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Jacana,Jacana,spinosa,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Spotted Sandpiper,Actitis,macularia,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Inca Dove,Columbina,inca,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Scarlet Macaw,Ara,macao,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Crimson-fronted Parakeet,Aratinga,finschi,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Groove-billed Ani,Crotophaga,sulcirostris,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-and-white Owl,Ciccaba,nigrolineata,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Ferruginous Pygmy-Owl,Glaucidium,brasilianum,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White-throated Swift,Aeronautes,saxatalis,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Steely-vented Hummingbird,Saucerottia,saucerrottei,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-headed Trogon,Trogon,melanocephalus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Baird's Trogon,Trogon,bairdii,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Green Kingfisher,Chloroceryle,americana,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Turquoise-browed Motmot,Eumomota,superciliosa,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Plain Xenops,Xenops,minutus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Streak-headed Woodcreeper,Lepidocolaptes,souleyetii,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-hooded Antshrike,Thamnophilus,bridgesi,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Beardless-Tyrannulet,Camptostoma,imberbe,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Greenish Elaenia,Myiopagis,viridicata,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Scrub-Flycatcher,Sublegatus,arenarum,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Common Tody-Flycatcher,Todirostrum,cinereum,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Brown-crested Flycatcher,Myiarchus,tyrannulus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Social Flycatcher,Myiozetetes,similis,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Streaked Flycatcher,Myiodynastes,maculatus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Piratic Flycatcher,Legatus,leucophaius,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rose-throated Becard,Pachyramphus,aglaiae,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Mangrove Swallow,Tachycineta,albilinea,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-naped Wren,Campylorhynchus,rufinucha,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Riverside Wren,Thryothorus,semibadius,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-throated Vireo,Vireo,flavifrons,La Villa Lapas,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-green Vireo,Vireo,flavoviridis,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Lesser Greenlet,Hylophilus,decurtatus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-browed Peppershrike,Cyclarhis,gujanensis,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow Warbler,Dendroica,petechia,Costa Rica,4/3/2005, , , ,Costa Rica,North America,erithachorides,  ,  ,  ,  ,  
Rufous-capped Warbler,Basileuterus,rufifrons,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White-shouldered Tanager,Tachyphonus,luctuosus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-gray Tanager,Thraupis,episcopus,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-throated Euphonia,Euphonia,hirundinacea,Costa Rica,4/3/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Boat-billed Heron,Cochlearius,cochlearius,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Crane Hawk,Geranospiza,caerulescens,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Ruddy Ground-Dove,Columbina,talpacoti,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue Ground-Dove,Claravis,pretiosa,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Gray-chested Dove,Leptotila,cassini,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Squirrel Cuckoo,Piaya,cayana,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Striped Owl,Pseudoscops,clamator,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Western Long-tailed Hermit,Phaethornis,longirostris,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Scaly-breasted Hummingbird,Phaeochroa,cuvierii,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Violaceous Trogon,Trogon,violaceus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-throated Trogon,Trogon,rufus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-tailed Jacamar,Galbula,ruficauda,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-mandibled Toucan,Ramphastos,ambiguus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Golden-naped Woodpecker,Melanerpes,chrysauchen,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Pale-billed Woodpecker,Campephilus,guatemalensis,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Barred-Woodcreeper,Dendrocolaptes,sanctithomae,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Cocoa Woodcreeper,Xiphorhynchus,susurrans,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Barred Antshrike,Thamnophilus,doliatus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Dot-winged Antwren,Microrhopias,quixensis,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Dusky Antbird,Cercomacra,tyrannina,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Chestnut-backed Antbird,Myrmeciza,exsul,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Bicolored Antbird,Gymnopithys,leucaspis,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-faced Antthrush,Formicarius,analis,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-crowned Manakin,Pipra,coronata,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Southern Beardless-Tyrannulet,Camptostoma,obsoletum,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Bentbill,Oncostoma,cinereigulare,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-olive Flycatcher,Tolmomyias,sulphurescens,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Northern Royal-Flycatcher,Onychorhynchus,mexicanus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Gray-breasted Martin,Progne,chalybea,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Black-bellied Wren,Thryothorus,fasciatoventris,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-breasted Wren,Thryothorus,rutilus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Long-billed Gnatwren,Ramphocaenus,melanurus,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Cherrie's Tanager,Ramphocelus,costaricensis,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-black Grassquit,Volatinia,jacarina,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Variable Seedeater,Sporophila,corvina,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Orange-billed Sparrow,Arremon,aurantiirostris,Carrara,4/4/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Muscovy Duck,Cairina,moschata,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Mangrove Black-Hawk,Buteogallus,subtilis,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Gray-necked Wood-Rail,Aramides,cajanea,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Orange-chinned Parakeet,Brotogeris,jugularis,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White-fronted Parrot,Amazona,albifrons,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Yellow-naped Parrot,Amazona,auropalliata,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Mealy Parrot,Amazona,farinosa,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Striped Cuckoo,Tapera,naevia,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Lesser Nighthawk,Chordeiles,acutipennis,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Band-tailed Barbthroat,Threnetes,ruckeri,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White-necked Jacobin,Florisuga,mellivora,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Purple-crowned Fairy,Heliothryx,barroti,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Slaty-tailed Trogon,Trogon,massena,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Ringed Kingfisher,Ceryle,torquata,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Amazon Kingfisher,Chloroceryle,amazona,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
American Pygmy Kingfisher,Chloroceryle,aenea,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
White-whiskered Puffbird,Malacoptila,panamensis,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Lineated Woodpecker,Dryocopus,lineatus,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Russet Antshrike,Thamnistes,anabatinus,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Streak-chested Antpitta,Hylopezus,perspicillatus,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-crowned Manakin,Pipra,coronata,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Red-capped Manakin,Pipra,mentalis,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Stub-tailed Spadebill,Platyrinchus,cancrominus,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous Mourner,Rhytipterna,holerythra,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Panama Flycatcher,Myiarchus,panamensis,Tarcoles River,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Masked Tityra,Tityra,semifasciata,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Rufous-and-white Wren,Thryothorus,rufalbus,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Tawny-crowned Greenlet,Hylophilus,ochraceiceps,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Buff-rumped Warbler,Basileuterus,fulvicauda,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Blue-black Grosbeak,Cyanocompsa,cyanoides,Costa Rica,4/5/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Collared Plover,Charadrius,collaris,Carrara,4/6/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
Brown-headed Parrot,Poicephalus,cryptoxanthus,Carrara,4/6/2005, , , ,Costa Rica,North America,  ,  ,  ,  ,  ,  
